Question,Correct Answer,Answer Given,Category,Result
"Why is it unsafe to download files from untrusted sources, even if the website looks legitimate?","option1","option2","cyber_questions","Wrong"
"What is the minimum requirement for fall protection when working at height above 6 feet?","option2","option3","height_questions","Wrong"
"What is the best way to identify potential hazards in your workplace?","option2","option4","perception_questions","Wrong"
"Why is it important to check your surroundings before operating machinery?","option2","option2","perception_questions","Correct"
"What should you do before lifting a heavy load","option1","option1","handling_questions","Correct"
"Which of the following is a hazard when working at height?","option2","option1","height_questions","Wrong"
"What should you do if you notice a spill on the floor at work?","option3","option2","perception_questions","Wrong"
"Why should you be cautious about clicking on pop-up ads, even if they appear on legitimate websites?","option1","option3","cyber_questions","Wrong"
"Why is it unsafe to use damaged equipment?","option2","option4","unsafe_acts_questions","Wrong"
"What is one of the most important considerations when lifting a heavy object","option3","option2","handling_questions","Wrong"
"What is the risk of falling from any height","option2","option3","height_questions","Wrong"
"Why is it unsafe to block fire exits with office furniture or equipment?","option2","option2","unsafe_acts_questions","Correct"
"What is a Key Safety Feature of a ladder when working at height?","option1","option2","height_questions","Wrong"
"What is the risk of taking shortcuts at work?","option2","option2","perception_questions","Correct"
"When working on a scaffold, what safety measure is essential?","option2","option2","height_questions","Correct"
"Which of the following is true regarding lifting heavy loads","option2","option2","handling_questions","Correct"
"What is an example of a fire hazard in a workplace?","option2","option4","perception_questions","Wrong"
"Why is using a mobile phone while walking through the office considered unsafe?","option2","option4","unsafe_acts_questions","Wrong"
"What is the risk of taking shortcuts in a dangerous task?","option2","option2","unsafe_acts_questions","Correct"
"Why is it unsafe to connect to public Wi-Fi networks?","option2","option2","cyber_questions","Correct"
"What is the safest way to lift a heavy object","option2","option3","handling_questions","Wrong"
"What should you do if you observe an unsafe act in the workplace?","option2","option3","unsafe_acts_questions","Wrong"
"Why is it unsafe to ignore safety protocols?","option2","option4","unsafe_acts_questions","Wrong"
"What should you do if the load is too heavy to lift alone","option2","option1","handling_questions","Wrong"
"What should you do before working at height?","option2","option2","height_questions","Correct"
"How can poor ergonomics affect your health in the workplace?","option2","option1","perception_questions","Wrong"
"What is the main risk of having poor housekeeping in the workplace?","option2","option2","perception_questions","Correct"
"Which of the following can help reduce the risk of injury when lifting heavy items","option2","option2","handling_questions","Correct"
"Which of the following should be avoided when working at height?","option1","option2","height_questions","Wrong"
"What is a Key Benefit of using a lifting aid like a trolley","option1","option2","handling_questions","Wrong"
